[2026-02-10T14:58:45.540Z] User: 05fc8635-b34d-44d7-9f96-4fdb94171482, Role: doctor
[2026-02-10T14:58:45.659Z] User: 05fc8635-b34d-44d7-9f96-4fdb94171482, Role: doctor
[2026-02-10T14:58:47.106Z] User: 05fc8635-b34d-44d7-9f96-4fdb94171482, Role: doctor
[2026-02-10T14:59:13.693Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T14:59:13.809Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T14:59:15.523Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T14:59:44.474Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:00:13.688Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:00:43.808Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:00:47.041Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:01:14.484Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:01:44.512Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:02:14.563Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[2026-02-10T15:02:45.544Z] User: 682a57fa-18c7-4640-abf1-96516d00012e, Role: doctor
[Success] Found 1 visits. IDs: 9530a8a0-e6dc-42b0-945b-2dd6fa401d7c
